Timestamp,Pelvis_position_x,Pelvis_position_y,Pelvis_position_z,Chest_position_x,Chest_position_y,Chest_position_z,Head_position_x,Head_position_y,Head_position_z,LeftUpperLeg_position_x,LeftUpperLeg_position_y,LeftUpperLeg_position_z,LeftLowerLeg_position_x,LeftLowerLeg_position_y,LeftLowerLeg_position_z,LeftFoot_position_x,LeftFoot_position_y,LeftFoot_position_z,RightUpperLeg_position_x,RightUpperLeg_position_y,RightUpperLeg_position_z,RightLowerLeg_position_x,RightLowerLeg_position_y,RightLowerLeg_position_z,RightFoot_position_x,RightFoot_position_y,RightFoot_position_z,LeftShoulder_position_x,LeftShoulder_position_y,LeftShoulder_position_z,LeftUpperArm_position_x,LeftUpperArm_position_y,LeftUpperArm_position_z,LeftForeArm_position_x,LeftForeArm_position_y,LeftForeArm_position_z,RightShoulder_position_x,RightShoulder_position_y,RightShoulder_position_z,RightUpperArm_position_x,RightUpperArm_position_y,RightUpperArm_position_z,RightForeArm_position_x,RightForeArm_position_y,RightForeArm_position_z,LeftHand_position_x,LeftHand_position_y,LeftHand_position_z,RightHand_position_x,RightHand_position_y,RightHand_position_z
333,0.805116,0.9483539,0.04074852,0.7613073,1.311981,0.01661358,0.7136291,1.620613,0.0280749,0.728856,0.9375035,0.01569518,0.7341254,0.5063375,0.04200436,0.8146783,0.1211091,-0.1385486,0.881376,0.9592044,0.06580187,0.908378,0.5323919,0.004761379,0.9448473,0.1177993,-0.1147043,0.6745114,1.423447,0.0455488,0.5419236,1.402589,0.05566883,0.5456549,1.147841,0.1123338,0.8132086,1.445266,0.03496231,0.9457964,1.466125,0.02484226,1.02764,1.227793,0.09281892,0.5150018,1.085172,0.3927883,1.008492,1.227513,0.3811845
367,0.8055261,0.9488639,0.03653117,0.7614809,1.312423,0.01181121,0.7138366,1.621075,0.02285196,0.7290863,0.9379396,0.01206467,0.7343435,0.5068557,0.039688,0.8146367,0.1206329,-0.1388448,0.881966,0.9597881,0.06099766,0.9092745,0.5331447,-0.001079727,0.94464,0.1169454,-0.1151698,0.6748083,1.423944,0.04090393,0.5422681,1.4031,0.05165677,0.5460936,1.148591,0.1093772,0.8134558,1.445748,0.02965547,0.945996,1.466592,0.01890261,1.026924,1.227881,0.08664631,0.5153882,1.084911,0.3895978,1.00806,1.229235,0.3750275
400,0.8059431,0.9491528,0.03425807,0.7618201,1.31267,0.00907285,0.7142658,1.621349,0.0197681,0.7293838,0.9381923,0.01018469,0.7343186,0.5071408,0.03836614,0.8147293,0.1203868,-0.13896,0.8825025,0.9601132,0.05833145,0.9097881,0.533469,-0.003750999,0.9445083,0.1165493,-0.1153824,0.6752442,1.424253,0.03821757,0.5427276,1.403453,0.04933954,0.5464255,1.149141,0.1079342,0.813867,1.446012,0.02658298,0.9463836,1.466813,0.01546101,1.026579,1.227829,0.0831141,0.5164325,1.084245,0.387953,1.007856,1.23057,0.3714947
433,0.8064473,0.949306,0.03362426,0.7623888,1.312824,0.008327248,0.7149755,1.621526,0.01895453,0.7298196,0.9383582,0.009763436,0.7342435,0.5072867,0.03772286,0.8149437,0.1202919,-0.1389451,0.8830751,0.9602538,0.05748508,0.9100124,0.5334347,-0.003538486,0.9444444,0.1165482,-0.1153826,0.6758969,1.424454,0.03753797,0.5433866,1.403713,0.0488417,0.5470726,1.149518,0.1079418,0.8145133,1.446151,0.02571324,0.9470237,1.466892,0.01440949,1.026603,1.227748,0.08222146,0.5177634,1.083611,0.3877969,1.008112,1.231401,0.370607
467,0.8070304,0.9494224,0.03386942,0.7631787,1.31299,0.008934466,0.7159858,1.621715,0.01988316,0.7303621,0.9385453,0.01010684,0.7342413,0.5074136,0.03720567,0.8152499,0.1202196,-0.138884,0.8836988,0.9602995,0.057632,0.9101776,0.5332965,-0.0022953,0.9444332,0.1167071,-0.115295,0.6767972,1.424654,0.03834489,0.5442865,1.403992,0.04979043,0.5482928,1.149855,0.1091193,0.8154137,1.446268,0.02637183,0.9479243,1.46693,0.01492628,1.026925,1.227698,0.08310588,0.5191424,1.083467,0.388877,1.008897,1.23189,0.3715132
500,0.8076705,0.9495176,0.03467104,0.7641563,1.313182,0.01057056,0.7172672,1.621927,0.02223309,0.7309791,0.9387674,0.01092516,0.7343588,0.5075474,0.03665133,0.8156106,0.1201221,-0.1388163,0.8843619,0.9602678,0.05841692,0.9104391,0.5332094,-0.001292229,0.9445246,0.1168559,-0.1152088,0.6779295,1.424865,0.04036091,0.5454202,1.404301,0.05199708,0.5500723,1.150206,0.1114553,0.8165447,1.446376,0.02818842,0.949054,1.466939,0.01655223,1.027548,1.227672,0.08518931,0.5204346,1.083845,0.3911686,1.01018,1.23208,0.3736339
533,0.8083975,0.9496068,0.03632356,0.7652659,1.313404,0.01357608,0.7186958,1.622153,0.02638529,0.7316993,0.9390253,0.01252409,0.7346892,0.5076917,0.03632372,0.8159567,0.1200776,-0.1387191,0.8850958,0.9601882,0.06012302,0.9109001,0.5333046,-0.0009388439,0.9447969,0.1170056,-0.1151109,0.6792207,1.425067,0.04396001,0.5467226,1.404588,0.05587025,0.5522419,1.15056,0.115543,0.8178242,1.44649,0.03150082,0.9503223,1.46697,0.01959056,1.028562,1.22776,0.08871952,0.5215707,1.084576,0.395234,1.011886,1.231921,0.3772087
567,0.8091347,0.9497361,0.03907235,0.7663786,1.313692,0.01823738,0.7200931,1.622412,0.0326587,0.7324515,0.9393574,0.01513541,0.7353116,0.5078953,0.03649586,0.8161807,0.1202045,-0.1385618,0.8858178,0.9601148,0.06300929,0.9115268,0.5336627,-0.00103499,0.945245,0.1172746,-0.1149346,0.6805199,1.425276,0.04942804,0.548045,1.404843,0.06167022,0.5544962,1.150918,0.1216858,0.8190991,1.446651,0.03662161,0.951574,1.467085,0.02437941,1.029986,1.228094,0.09406716,0.5224721,1.085747,0.4014158,1.013782,1.231376,0.3825944
600,0.8097536,0.9496796,0.04246533,0.7673851,1.313798,0.02377255,0.7213697,1.622469,0.03999203,0.7331045,0.9395214,0.01832566,0.7360261,0.5079617,0.03760446,0.8161929,0.1205358,-0.1383601,0.8864027,0.9598377,0.066605,0.9118349,0.533638,0.000794284,0.945715,0.1176944,-0.1146708,0.6817093,1.425274,0.05583856,0.5492604,1.404868,0.06840443,0.5564507,1.151062,0.1288362,0.8202614,1.446619,0.04269352,0.9527103,1.467024,0.03012763,1.03171,1.228416,0.1004609,0.523146,1.087225,0.4087241,1.015582,1.230131,0.3890062
633,0.8102606,0.9495454,0.04517399,0.7682465,1.313783,0.02808227,0.7224903,1.622419,0.04564574,0.7336333,0.939567,0.02089044,0.7367561,0.5079631,0.03911891,0.8159922,0.1209557,-0.1381831,0.8868879,0.9595237,0.06945754,0.9118242,0.5332948,0.003646858,0.9459967,0.1181073,-0.1144237,0.6827355,1.42519,0.06082055,0.5503069,1.404827,0.07366471,0.557735,1.151144,0.1345866,0.8212664,1.446493,0.04738441,0.953695,1.466856,0.03454022,1.03347,1.228688,0.1054862,0.5238392,1.088618,0.4146996,1.017116,1.228299,0.3940236
